Race,HispanicOrigin,Sex,Age,Interval,Agegroup_5,Agegroup,Pop,Total,White,Black,Asian,AIAN,NHPI,TwoOrMoreRaces
Total,Total,Male,14,4,,...14 to 17 years,8484078,8484078,6234100,1244961,453592,132168,24323,394934
Total,Total,Male,18,47,,..18 to 64 years,100274366,100274366,76731931,13450844,6240957,1331936,267365,2251333
Total,Total,Male,18,7,,...18 to 24 years,15451921,15451921,11333036,2335201,898400,231634,42780,610870
Total,Total,Male,25,20,,...25 to 44 years,44151260,44151260,32979036,6216629,3107654,635406,137982,1074553
Total,Total,Male,45,20,,...45 to 64 years,40671185,40671185,32419859,4899014,2234903,464896,86603,565910
Total,Total,Male,65,,,..65 years and over,24074290,24074290,20451333,2092577,1089642,183190,32965,224583
Total,Total,Male,85,,,..85 years and over,2376488,2376488,2070601,161831,109926,13205,2574,18351
Total,Total,Male,16,,,..16 years and over,128577374,128577374,100296595,16166110,7556838,1580503,312285,2665043
Total,Total,Male,18,,,..18 years and over,124348656,124348656,97183264,15543421,7330599,1515126,300330,2475916
Total,Total,Female,0,5,yes,..Under 5 years,9567476,9567476,6856667,1458801,493188,154124,28553,576143
Total,Total,Female,5,5,yes,..5 to 9 years,9873133,9873133,7084989,1504849,522824,159308,28250,572913
Total,Total,Female,10,5,yes,..10 to 14 years,10180007,10180007,7343403,1549173,548402,164018,30683,544328
Total,Total,Female,15,5,yes,..15 to 19 years,10308963,10308963,7525358,1553023,578033,159499,28902,464148
Total,Total,Female,20,5,yes,..20 to 24 years,10568188,10568188,7695287,1626535,646584,158347,28969,412466
Total,Total,Female,25,5,yes,..25 to 29 years,11504446,11504446,8262050,1855461,817605,167618,33502,368210
Total,Total,Female,30,5,yes,..30 to 34 years,11076695,11076695,8059180,1660003,881213,149661,33596,293042
Total,Total,Female,35,5,yes,..35 to 39 years,10852580,10852580,7986105,1565644,866255,143431,32421,258724
Total,Total,Female,40,5,yes,..40 to 44 years,10014484,10014484,7408669,1440802,793322,129445,27222,215024
Total,Total,Female,45,5,yes,..45 to 49 years,10312396,10312396,7752420,1451345,771131,125709,24633,187158
Total,Total,Female,50,5,yes,..50 to 54 years,10390540,10390540,8004484,1425303,657903,119781,23124,159945
Total,Total,Female,55,5,yes,..55 to 59 years,11234902,11234902,8850887,1468538,617747,121906,22027,153797
Total,Total,Female,60,5,yes,..60 to 64 years,10714416,10714416,8564001,1332321,563222,105954,18131,130787
Total,Total,Female,65,5,yes,..65 to 69 years,9255228,9255228,7514281,1064201,483921,80478,13856,98491
Total,Total,Female,70,5,yes,..70 to 74 years,7528626,7528626,6251368,771158,366479,57552,10026,72043
Total,Total,Female,75,5,yes,..75 to 79 years,5334166,5334166,4483876,518159,241926,36818,6108,47279
Total,Total,Female,80,5,yes,..80 to 84 years,3637483,3637483,3067596,349141,163352,23461,4045,29888
