Race,HispanicOrigin,Sex,Age,Interval,Agegroup_5,Agegroup,Pop,Total,White,Black,Asian,AIAN,NHPI,TwoOrMoreRaces
Total,Hispanic,Female,45,5,yes,...45 to 49 years,1894490,1894490,1688945,86901,18405,52806,6186,41247
Total,Hispanic,Female,50,5,yes,...50 to 54 years,1642816,1642816,1468375,74726,15503,44864,5418,33930
Total,Hispanic,Female,55,5,yes,...55 to 59 years,1441214,1441214,1289393,64570,13468,39627,4433,29723
Total,Hispanic,Female,60,5,yes,...60 to 64 years,1157721,1157721,1038900,51472,10527,30456,3216,23150
Total,Hispanic,Female,65,5,yes,...65 to 69 years,879160,879160,794834,37438,7737,20907,2181,16063
Total,Hispanic,Female,70,5,yes,...70 to 74 years,650513,650513,591998,26774,5355,13943,1448,10995
Total,Hispanic,Female,75,5,yes,...75 to 79 years,448798,448798,411183,17468,3456,8708,938,7045
Total,Hispanic,Female,80,5,yes,...80 to 84 years,312909,312909,287904,12061,2297,5520,659,4468
Total,Hispanic,Female,85,,yes,...85 years and over,323773,323773,299940,11642,2159,5286,518,4228
Total,Hispanic,Female,0,18,,...Under 18 years,9162938,9162938,7880527,483889,96395,270040,32703,399384
Total,Hispanic,Female,0,5,,....Under 5 years,2496241,2496241,2134432,134595,27224,75017,8929,116044
Total,Hispanic,Female,5,9,,....5 to 13 years,4669774,4669774,4012702,248420,48687,135947,16732,207286
Total,Hispanic,Female,14,4,,....14 to 17 years,1996923,1996923,1733393,100874,20484,59076,7042,76054
Total,Hispanic,Female,18,47,,...18 to 64 years,18223109,18223109,16066740,899398,182788,518345,63399,492439
Total,Hispanic,Female,18,7,,....18 to 24 years,3344258,3344258,2920562,165052,33388,97487,11504,116265
Total,Hispanic,Female,25,20,,....25 to 44 years,8742610,8742610,7660565,456677,91497,253105,32642,248124
Total,Hispanic,Female,45,20,,....45 to 64 years,6136241,6136241,5485613,277669,57903,167753,19253,128050
Total,Hispanic,Female,65,,,...65 years and over,2615153,2615153,2385859,105383,21004,54364,5744,42799
Total,Hispanic,Female,85,,,...85 years and over,323773,323773,299940,11642,2159,5286,518,4228
Total,Hispanic,Female,16,,,...16 years and over,21822558,21822558,19308856,1053917,213865,601537,72584,571799
Total,Hispanic,Female,18,,,...18 years and over,20838262,20838262,18452599,1004781,203792,572709,69143,535238
White,Total,Total,0,5,yes,.Under 5 years,14055084,,,,,,,
White,Total,Total,5,5,yes,.5 to 9 years,14517665,,,,,,,
White,Total,Total,10,5,yes,.10 to 14 years,15042505,,,,,,,
White,Total,Total,15,5,yes,.15 to 19 years,15423765,,,,,,,
White,Total,Total,20,5,yes,.20 to 24 years,15808772,,,,,,,
White,Total,Total,25,5,yes,.25 to 29 years,16985565,,,,,,,
White,Total,Total,30,5,yes,.30 to 34 years,16505500,,,,,,,
White,Total,Total,35,5,yes,.35 to 39 years,16227122,,,,,,,
White,Total,Total,40,5,yes,.40 to 44 years,14976853,,,,,,,
White,Total,Total,45,5,yes,.45 to 49 years,15561807,,,,,,,
White,Total,Total,50,5,yes,.50 to 54 years,15976783,,,,,,,
White,Total,Total,55,5,yes,.55 to 59 years,17427196,,,,,,,
White,Total,Total,60,5,yes,.60 to 64 years,16625865,,,,,,,
White,Total,Total,65,5,yes,.65 to 69 years,14346276,,,,,,,
White,Total,Total,70,5,yes,.70 to 74 years,11781647,,,,,,,
White,Total,Total,75,5,yes,.75 to 79 years,8195014,,,,,,,
White,Total,Total,80,5,yes,.80 to 84 years,5374916,,,,,,,
White,Total,Total,85,,yes,.85 years and over,5689855,,,,,,,
White,Total,Total,0,18,,.Under 18 years,52758293,,,,,,,
White,Total,Total,0,5,,..Under 5 years,14055084,,,,,,,
White,Total,Total,5,9,,..5 to 13 years,26523012,,,,,,,
White,Total,Total,14,4,,..14 to 17 years,12180197,,,,,,,
White,Total,Total,18,47,,.18 to 64 years,152376189,,,,,,,
White,Total,Total,18,7,,..18 to 24 years,22089498,,,,,,,
White,Total,Total,25,20,,..25 to 44 years,64695040,,,,,,,
White,Total,Total,45,20,,..45 to 64 years,65591651,,,,,,,
White,Total,Total,65,,,.65 years and over,45387708,,,,,,,
White,Total,Total,85,,,.85 years and over,5689855,,,,,,,
White,Total,Total,16,,,.16 years and over,203848098,,,,,,,
White,Total,Total,18,,,.18 years and over,197763897,,,,,,,
White,Total,Male,0,5,yes,..Under 5 years,7198417,,,,,,,
White,Total,Male,5,5,yes,..5 to 9 years,7432676,,,,,,,
White,Total,Male,10,5,yes,..10 to 14 years,7699102,,,,,,,
White,Total,Male,15,5,yes,..15 to 19 years,7898407,,,,,,,
White,Total,Male,20,5,yes,..20 to 24 years,8113485,,,,,,,
White,Total,Male,25,5,yes,..25 to 29 years,8723515,,,,,,,
White,Total,Male,30,5,yes,..30 to 34 years,8446320,,,,,,,
White,Total,Male,35,5,yes,..35 to 39 years,8241017,,,,,,,
White,Total,Male,40,5,yes,..40 to 44 years,7568184,,,,,,,
White,Total,Male,45,5,yes,..45 to 49 years,7809387,,,,,,,
White,Total,Male,50,5,yes,..50 to 54 years,7972299,,,,,,,
White,Total,Male,55,5,yes,..55 to 59 years,8576309,,,,,,,
White,Total,Male,60,5,yes,..60 to 64 years,8061864,,,,,,,
White,Total,Male,65,5,yes,..65 to 69 years,6831995,,,,,,,
White,Total,Male,70,5,yes,..70 to 74 years,5530279,,,,,,,
White,Total,Male,75,5,yes,..75 to 79 years,3711138,,,,,,,
White,Total,Male,80,5,yes,..80 to 84 years,2307320,,,,,,,
White,Total,Male,85,,yes,..85 years and over,2070601,,,,,,,
White,Total,Male,0,18,,..Under 18 years,27009051,,,,,,,
White,Total,Male,0,5,,...Under 5 years,7198417,,,,,,,
White,Total,Male,5,9,,...5 to 13 years,13576534,,,,,,,
White,Total,Male,14,4,,...14 to 17 years,6234100,,,,,,,
White,Total,Male,18,47,,..18 to 64 years,76731931,,,,,,,
White,Total,Male,18,7,,...18 to 24 years,11333036,,,,,,,
White,Total,Male,25,20,,...25 to 44 years,32979036,,,,,,,
White,Total,Male,45,20,,...45 to 64 years,32419859,,,,,,,
White,Total,Male,65,,,..65 years and over,20451333,,,,,,,
White,Total,Male,85,,,..85 years and over,2070601,,,,,,,
White,Total,Male,16,,,..16 years and over,100296595,,,,,,,
White,Total,Male,18,,,..18 years and over,97183264,,,,,,,
White,Total,Female,0,5,yes,..Under 5 years,6856667,,,,,,,
White,Total,Female,5,5,yes,..5 to 9 years,7084989,,,,,,,
White,Total,Female,10,5,yes,..10 to 14 years,7343403,,,,,,,
White,Total,Female,15,5,yes,..15 to 19 years,7525358,,,,,,,
White,Total,Female,20,5,yes,..20 to 24 years,7695287,,,,,,,
White,Total,Female,25,5,yes,..25 to 29 years,8262050,,,,,,,
White,Total,Female,30,5,yes,..30 to 34 years,8059180,,,,,,,
White,Total,Female,35,5,yes,..35 to 39 years,7986105,,,,,,,
White,Total,Female,40,5,yes,..40 to 44 years,7408669,,,,,,,
White,Total,Female,45,5,yes,..45 to 49 years,7752420,,,,,,,
White,Total,Female,50,5,yes,..50 to 54 years,8004484,,,,,,,
White,Total,Female,55,5,yes,..55 to 59 years,8850887,,,,,,,
White,Total,Female,60,5,yes,..60 to 64 years,8564001,,,,,,,
White,Total,Female,65,5,yes,..65 to 69 years,7514281,,,,,,,
White,Total,Female,70,5,yes,..70 to 74 years,6251368,,,,,,,
White,Total,Female,75,5,yes,..75 to 79 years,4483876,,,,,,,
White,Total,Female,80,5,yes,..80 to 84 years,3067596,,,,,,,
White,Total,Female,85,,yes,..85 years and over,3619254,,,,,,,
White,Total,Female,0,18,,..Under 18 years,25749242,,,,,,,
White,Total,Female,0,5,,...Under 5 years,6856667,,,,,,,
White,Total,Female,5,9,,...5 to 13 years,12946478,,,,,,,
White,Total,Female,14,4,,...14 to 17 years,5946097,,,,,,,
White,Total,Female,18,47,,..18 to 64 years,75644258,,,,,,,
White,Total,Female,18,7,,...18 to 24 years,10756462,,,,,,,
White,Total,Female,25,20,,...25 to 44 years,31716004,,,,,,,
White,Total,Female,45,20,,...45 to 64 years,33171792,,,,,,,
White,Total,Female,65,,,..65 years and over,24936375,,,,,,,
White,Total,Female,85,,,..85 years and over,3619254,,,,,,,
White,Total,Female,16,,,..16 years and over,103551503,,,,,,,
White,Total,Female,18,,,..18 years and over,100580633,,,,,,,
White,Not Hispanic,Total,0,5,yes,..Under 5 years,9697245,,,,,,,
White,Not Hispanic,Total,5,5,yes,..5 to 9 years,10011063,,,,,,,
White,Not Hispanic,Total,10,5,yes,..10 to 14 years,10460991,,,,,,,
White,Not Hispanic,Total,15,5,yes,..15 to 19 years,11038241,,,,,,,
White,Not Hispanic,Total,20,5,yes,..20 to 24 years,11574506,,,,,,,
White,Not Hispanic,Total,25,5,yes,..25 to 29 years,12665969,,,,,,,
White,Not Hispanic,Total,30,5,yes,..30 to 34 years,12488443,,,,,,,
White,Not Hispanic,Total,35,5,yes,..35 to 39 years,12257885,,,,,,,
White,Not Hispanic,Total,40,5,yes,..40 to 44 years,11304550,,,,,,,
White,Not Hispanic,Total,45,5,yes,..45 to 49 years,12149412,,,,,,,
White,Not Hispanic,Total,50,5,yes,..50 to 54 years,13007754,,,,,,,
White,Not Hispanic,Total,55,5,yes,..55 to 59 years,14872649,,,,,,,
White,Not Hispanic,Total,60,5,yes,..60 to 64 years,14624720,,,,,,,
White,Not Hispanic,Total,65,5,yes,..65 to 69 years,12863198,,,,,,,
White,Not Hispanic,Total,70,5,yes,..70 to 74 years,10706123,,,,,,,
White,Not Hispanic,Total,75,5,yes,..75 to 79 years,7480246,,,,,,,
White,Not Hispanic,Total,80,5,yes,..80 to 84 years,4889393,,,,,,,
White,Not Hispanic,Total,85,,yes,..85 years and over,5217434,,,,,,,
White,Not Hispanic,Total,0,18,,..Under 18 years,36682894,,,,,,,
White,Not Hispanic,Total,0,5,,...Under 5 years,9697245,,,,,,,
White,Not Hispanic,Total,5,9,,...5 to 13 years,18336892,,,,,,,
White,Not Hispanic,Total,14,4,,...14 to 17 years,8648757,,,,,,,
White,Not Hispanic,Total,18,47,,..18 to 64 years,119470534,,,,,,,
White,Not Hispanic,Total,18,7,,...18 to 24 years,16099152,,,,,,,
White,Not Hispanic,Total,25,20,,...25 to 44 years,48716847,,,,,,,
White,Not Hispanic,Total,45,20,,...45 to 64 years,54654535,,,,,,,
White,Not Hispanic,Total,65,,,..65 years and over,41156394,,,,,,,
White,Not Hispanic,Total,85,,,..85 years and over,5217434,,,,,,,
White,Not Hispanic,Total,16,,,..16 years and over,164968703,,,,,,,
White,Not Hispanic,Total,18,,,..18 years and over,160626928,,,,,,,
White,Not Hispanic,Male,0,5,yes,...Under 5 years,4975010,,,,,,,
White,Not Hispanic,Male,5,5,yes,...5 to 9 years,5136523,,,,,,,
White,Not Hispanic,Male,10,5,yes,...10 to 14 years,5361288,,,,,,,
White,Not Hispanic,Male,15,5,yes,...15 to 19 years,5663678,,,,,,,
White,Not Hispanic,Male,20,5,yes,...20 to 24 years,5940932,,,,,,,
White,Not Hispanic,Male,25,5,yes,...25 to 29 years,6477538,,,,,,,
White,Not Hispanic,Male,30,5,yes,...30 to 34 years,6325953,,,,,,,
White,Not Hispanic,Male,35,5,yes,...35 to 39 years,6172679,,,,,,,
White,Not Hispanic,Male,40,5,yes,...40 to 44 years,5685238,,,,,,,
White,Not Hispanic,Male,45,5,yes,...45 to 49 years,6085937,,,,,,,
White,Not Hispanic,Male,50,5,yes,...50 to 54 years,6471645,,,,,,,
White,Not Hispanic,Male,55,5,yes,...55 to 59 years,7311155,,,,,,,
White,Not Hispanic,Male,60,5,yes,...60 to 64 years,7099619,,,,,,,
White,Not Hispanic,Male,65,5,yes,...65 to 69 years,6143751,,,,,,,
White,Not Hispanic,Male,70,5,yes,...70 to 74 years,5046753,,,,,,,
White,Not Hispanic,Male,75,5,yes,...75 to 79 years,3407553,,,,,,,
White,Not Hispanic,Male,80,5,yes,...80 to 84 years,2109701,,,,,,,
White,Not Hispanic,Male,85,,yes,...85 years and over,1898120,,,,,,,
White,Not Hispanic,Male,0,18,,...Under 18 years,18814179,,,,,,,
White,Not Hispanic,Male,0,5,,....Under 5 years,4975010,,,,,,,
White,Not Hispanic,Male,5,9,,....5 to 13 years,9403116,,,,,,,
White,Not Hispanic,Male,14,4,,....14 to 17 years,4436053,,,,,,,
White,Not Hispanic,Male,18,47,,...18 to 64 years,59893016,,,,,,,
White,Not Hispanic,Male,18,7,,....18 to 24 years,8263252,,,,,,,
White,Not Hispanic,Male,25,20,,....25 to 44 years,24661408,,,,,,,
White,Not Hispanic,Male,45,20,,....45 to 64 years,26968356,,,,,,,
White,Not Hispanic,Male,65,,,...65 years and over,18605878,,,,,,,
White,Not Hispanic,Male,85,,,...85 years and over,1898120,,,,,,,
White,Not Hispanic,Male,16,,,...16 years and over,80726056,,,,,,,
White,Not Hispanic,Male,18,,,...18 years and over,78498894,,,,,,,
White,Not Hispanic,Female,0,5,yes,...Under 5 years,4722235,,,,,,,
White,Not Hispanic,Female,5,5,yes,...5 to 9 years,4874540,,,,,,,
White,Not Hispanic,Female,10,5,yes,...10 to 14 years,5099703,,,,,,,
White,Not Hispanic,Female,15,5,yes,...15 to 19 years,5374563,,,,,,,
White,Not Hispanic,Female,20,5,yes,...20 to 24 years,5633574,,,,,,,
White,Not Hispanic,Female,25,5,yes,...25 to 29 years,6188431,,,,,,,
White,Not Hispanic,Female,30,5,yes,...30 to 34 years,6162490,,,,,,,
White,Not Hispanic,Female,35,5,yes,...35 to 39 years,6085206,,,,,,,
White,Not Hispanic,Female,40,5,yes,...40 to 44 years,5619312,,,,,,,
White,Not Hispanic,Female,45,5,yes,...45 to 49 years,6063475,,,,,,,
White,Not Hispanic,Female,50,5,yes,...50 to 54 years,6536109,,,,,,,
White,Not Hispanic,Female,55,5,yes,...55 to 59 years,7561494,,,,,,,
White,Not Hispanic,Female,60,5,yes,...60 to 64 years,7525101,,,,,,,
White,Not Hispanic,Female,65,5,yes,...65 to 69 years,6719447,,,,,,,
White,Not Hispanic,Female,70,5,yes,...70 to 74 years,5659370,,,,,,,
White,Not Hispanic,Female,75,5,yes,...75 to 79 years,4072693,,,,,,,
White,Not Hispanic,Female,80,5,yes,...80 to 84 years,2779692,,,,,,,
White,Not Hispanic,Female,85,,yes,...85 years and over,3319314,,,,,,,
White,Not Hispanic,Female,0,18,,...Under 18 years,17868715,,,,,,,
White,Not Hispanic,Female,0,5,,....Under 5 years,4722235,,,,,,,
White,Not Hispanic,Female,5,9,,....5 to 13 years,8933776,,,,,,,
White,Not Hispanic,Female,14,4,,....14 to 17 years,4212704,,,,,,,
White,Not Hispanic,Female,18,47,,...18 to 64 years,59577518,,,,,,,
White,Not Hispanic,Female,18,7,,....18 to 24 years,7835900,,,,,,,
White,Not Hispanic,Female,25,20,,....25 to 44 years,24055439,,,,,,,
White,Not Hispanic,Female,45,20,,....45 to 64 years,27686179,,,,,,,
White,Not Hispanic,Female,65,,,...65 years and over,22550516,,,,,,,
White,Not Hispanic,Female,85,,,...85 years and over,3319314,,,,,,,
White,Not Hispanic,Female,16,,,...16 years and over,84242647,,,,,,,
White,Not Hispanic,Female,18,,,...18 years and over,82128034,,,,,,,
White,Hispanic,Total,0,5,yes,..Under 5 years,4357839,,,,,,,
White,Hispanic,Total,5,5,yes,..5 to 9 years,4506602,,,,,,,
White,Hispanic,Total,10,5,yes,..10 to 14 years,4581514,,,,,,,
White,Hispanic,Total,15,5,yes,..15 to 19 years,4385524,,,,,,,
White,Hispanic,Total,20,5,yes,..20 to 24 years,4234266,,,,,,,
White,Hispanic,Total,25,5,yes,..25 to 29 years,4319596,,,,,,,
White,Hispanic,Total,30,5,yes,..30 to 34 years,4017057,,,,,,,
White,Hispanic,Total,35,5,yes,..35 to 39 years,3969237,,,,,,,
White,Hispanic,Total,40,5,yes,..40 to 44 years,3672303,,,,,,,
White,Hispanic,Total,45,5,yes,..45 to 49 years,3412395,,,,,,,
White,Hispanic,Total,50,5,yes,..50 to 54 years,2969029,,,,,,,
White,Hispanic,Total,55,5,yes,..55 to 59 years,2554547,,,,,,,
White,Hispanic,Total,60,5,yes,..60 to 64 years,2001145,,,,,,,
White,Hispanic,Total,65,5,yes,..65 to 69 years,1483078,,,,,,,
White,Hispanic,Total,70,5,yes,..70 to 74 years,1075524,,,,,,,
White,Hispanic,Total,75,5,yes,..75 to 79 years,714768,,,,,,,
White,Hispanic,Total,80,5,yes,..80 to 84 years,485523,,,,,,,
White,Hispanic,Total,85,,yes,..85 years and over,472421,,,,,,,
White,Hispanic,Total,0,18,,..Under 18 years,16075399,,,,,,,
White,Hispanic,Total,0,5,,...Under 5 years,4357839,,,,,,,
White,Hispanic,Total,5,9,,...5 to 13 years,8186120,,,,,,,
White,Hispanic,Total,14,4,,...14 to 17 years,3531440,,,,,,,
White,Hispanic,Total,18,47,,..18 to 64 years,32905655,,,,,,,
White,Hispanic,Total,18,7,,...18 to 24 years,5990346,,,,,,,
White,Hispanic,Total,25,20,,...25 to 44 years,15978193,,,,,,,
White,Hispanic,Total,45,20,,...45 to 64 years,10937116,,,,,,,
White,Hispanic,Total,65,,,..65 years and over,4231314,,,,,,,
White,Hispanic,Total,85,,,..85 years and over,472421,,,,,,,
White,Hispanic,Total,16,,,..16 years and over,38879395,,,,,,,
White,Hispanic,Total,18,,,..18 years and over,37136969,,,,,,,
White,Hispanic,Male,0,5,yes,...Under 5 years,2223407,,,,,,,
White,Hispanic,Male,5,5,yes,...5 to 9 years,2296153,,,,,,,
White,Hispanic,Male,10,5,yes,...10 to 14 years,2337814,,,,,,,
White,Hispanic,Male,15,5,yes,...15 to 19 years,2234729,,,,,,,
White,Hispanic,Male,20,5,yes,...20 to 24 years,2172553,,,,,,,
White,Hispanic,Male,25,5,yes,...25 to 29 years,2245977,,,,,,,
White,Hispanic,Male,30,5,yes,...30 to 34 years,2120367,,,,,,,
White,Hispanic,Male,35,5,yes,...35 to 39 years,2068338,,,,,,,
White,Hispanic,Male,40,5,yes,...40 to 44 years,1882946,,,,,,,
White,Hispanic,Male,45,5,yes,...45 to 49 years,1723450,,,,,,,
White,Hispanic,Male,50,5,yes,...50 to 54 years,1500654,,,,,,,
White,Hispanic,Male,55,5,yes,...55 to 59 years,1265154,,,,,,,
White,Hispanic,Male,60,5,yes,...60 to 64 years,962245,,,,,,,
White,Hispanic,Male,65,5,yes,...65 to 69 years,688244,,,,,,,
White,Hispanic,Male,70,5,yes,...70 to 74 years,483526,,,,,,,
White,Hispanic,Male,75,5,yes,...75 to 79 years,303585,,,,,,,
White,Hispanic,Male,80,5,yes,...80 to 84 years,197619,,,,,,,
White,Hispanic,Male,85,,yes,...85 years and over,172481,,,,,,,
White,Hispanic,Male,0,18,,...Under 18 years,8194872,,,,,,,
White,Hispanic,Male,0,5,,....Under 5 years,2223407,,,,,,,
White,Hispanic,Male,5,9,,....5 to 13 years,4173418,,,,,,,
White,Hispanic,Male,14,4,,....14 to 17 years,1798047,,,,,,,
White,Hispanic,Male,18,47,,...18 to 64 years,16838915,,,,,,,
White,Hispanic,Male,18,7,,....18 to 24 years,3069784,,,,,,,
White,Hispanic,Male,25,20,,....25 to 44 years,8317628,,,,,,,
White,Hispanic,Male,45,20,,....45 to 64 years,5451503,,,,,,,
White,Hispanic,Male,65,,,...65 years and over,1845455,,,,,,,
White,Hispanic,Male,85,,,...85 years and over,172481,,,,,,,
White,Hispanic,Male,16,,,...16 years and over,19570539,,,,,,,
White,Hispanic,Male,18,,,...18 years and over,18684370,,,,,,,
White,Hispanic,Female,0,5,yes,...Under 5 years,2134432,,,,,,,
White,Hispanic,Female,5,5,yes,...5 to 9 years,2210449,,,,,,,
White,Hispanic,Female,10,5,yes,...10 to 14 years,2243700,,,,,,,
White,Hispanic,Female,15,5,yes,...15 to 19 years,2150795,,,,,,,
White,Hispanic,Female,20,5,yes,...20 to 24 years,2061713,,,,,,,
White,Hispanic,Female,25,5,yes,...25 to 29 years,2073619,,,,,,,
White,Hispanic,Female,30,5,yes,...30 to 34 years,1896690,,,,,,,
White,Hispanic,Female,35,5,yes,...35 to 39 years,1900899,,,,,,,
White,Hispanic,Female,40,5,yes,...40 to 44 years,1789357,,,,,,,
White,Hispanic,Female,45,5,yes,...45 to 49 years,1688945,,,,,,,
White,Hispanic,Female,50,5,yes,...50 to 54 years,1468375,,,,,,,
White,Hispanic,Female,55,5,yes,...55 to 59 years,1289393,,,,,,,
White,Hispanic,Female,60,5,yes,...60 to 64 years,1038900,,,,,,,
White,Hispanic,Female,65,5,yes,...65 to 69 years,794834,,,,,,,
White,Hispanic,Female,70,5,yes,...70 to 74 years,591998,,,,,,,
White,Hispanic,Female,75,5,yes,...75 to 79 years,411183,,,,,,,
White,Hispanic,Female,80,5,yes,...80 to 84 years,287904,,,,,,,
White,Hispanic,Female,85,,yes,...85 years and over,299940,,,,,,,
White,Hispanic,Female,0,18,,...Under 18 years,7880527,,,,,,,
White,Hispanic,Female,0,5,,....Under 5 years,2134432,,,,,,,
White,Hispanic,Female,5,9,,....5 to 13 years,4012702,,,,,,,
White,Hispanic,Female,14,4,,....14 to 17 years,1733393,,,,,,,
White,Hispanic,Female,18,47,,...18 to 64 years,16066740,,,,,,,
White,Hispanic,Female,18,7,,....18 to 24 years,2920562,,,,,,,
White,Hispanic,Female,25,20,,....25 to 44 years,7660565,,,,,,,
White,Hispanic,Female,45,20,,....45 to 64 years,5485613,,,,,,,
White,Hispanic,Female,65,,,...65 years and over,2385859,,,,,,,
White,Hispanic,Female,85,,,...85 years and over,299940,,,,,,,
White,Hispanic,Female,16,,,...16 years and over,19308856,,,,,,,
White,Hispanic,Female,18,,,...18 years and over,18452599,,,,,,,
Black,Total,Total,0,5,yes,.Under 5 years,2958158,,,,,,,
Black,Total,Total,5,5,yes,.5 to 9 years,3052301,,,,,,,
Black,Total,Total,10,5,yes,.10 to 14 years,3139599,,,,,,,
Black,Total,Total,15,5,yes,.15 to 19 years,3148586,,,,,,,
Black,Total,Total,20,5,yes,.20 to 24 years,3298857,,,,,,,
Black,Total,Total,25,5,yes,.25 to 29 years,3746444,,,,,,,
Black,Total,Total,30,5,yes,.30 to 34 years,3261920,,,,,,,
Black,Total,Total,35,5,yes,.35 to 39 years,3003920,,,,,,,
Black,Total,Total,40,5,yes,.40 to 44 years,2726255,,,,,,,
Black,Total,Total,45,5,yes,.45 to 49 years,2728136,,,,,,,
Black,Total,Total,50,5,yes,.50 to 54 years,2678510,,,,,,,
Black,Total,Total,55,5,yes,.55 to 59 years,2733691,,,,,,,
Black,Total,Total,60,5,yes,.60 to 64 years,2436184,,,,,,,
Black,Total,Total,65,5,yes,.65 to 69 years,1883334,,,,,,,
Black,Total,Total,70,5,yes,.70 to 74 years,1332938,,,,,,,
Black,Total,Total,75,5,yes,.75 to 79 years,861902,,,,,,,
Black,Total,Total,80,5,yes,.80 to 84 years,555231,,,,,,,
Black,Total,Total,85,,yes,.85 years and over,529120,,,,,,,
Black,Total,Total,0,18,,.Under 18 years,10992017,,,,,,,
Black,Total,Total,0,5,,..Under 5 years,2958158,,,,,,,
Black,Total,Total,5,9,,..5 to 13 years,5576016,,,,,,,
Black,Total,Total,14,4,,..14 to 17 years,2457843,,,,,,,
Black,Total,Total,18,47,,.18 to 64 years,27920544,,,,,,,
Black,Total,Total,18,7,,..18 to 24 years,4605484,,,,,,,
Black,Total,Total,25,20,,..25 to 44 years,12738539,,,,,,,
Black,Total,Total,45,20,,..45 to 64 years,10576521,,,,,,,
Black,Total,Total,65,,,.65 years and over,5162525,,,,,,,
Black,Total,Total,85,,,.85 years and over,529120,,,,,,,
Black,Total,Total,16,,,.16 years and over,34313058,,,,,,,
Black,Total,Total,18,,,.18 years and over,33083069,,,,,,,
Black,Total,Male,0,5,yes,..Under 5 years,1499357,,,,,,,
Black,Total,Male,5,5,yes,..5 to 9 years,1547452,,,,,,,
Black,Total,Male,10,5,yes,..10 to 14 years,1590426,,,,,,,
Black,Total,Male,15,5,yes,..15 to 19 years,1595563,,,,,,,
Black,Total,Male,20,5,yes,..20 to 24 years,1672322,,,,,,,
Black,Total,Male,25,5,yes,..25 to 29 years,1890983,,,,,,,
Black,Total,Male,30,5,yes,..30 to 34 years,1601917,,,,,,,
Black,Total,Male,35,5,yes,..35 to 39 years,1438276,,,,,,,
Black,Total,Male,40,5,yes,..40 to 44 years,1285453,,,,,,,
Black,Total,Male,45,5,yes,..45 to 49 years,1276791,,,,,,,
Black,Total,Male,50,5,yes,..50 to 54 years,1253207,,,,,,,
Black,Total,Male,55,5,yes,..55 to 59 years,1265153,,,,,,,
Black,Total,Male,60,5,yes,..60 to 64 years,1103863,,,,,,,
Black,Total,Male,65,5,yes,..65 to 69 years,819133,,,,,,,
Black,Total,Male,70,5,yes,..70 to 74 years,561780,,,,,,,
Black,Total,Male,75,5,yes,..75 to 79 years,343743,,,,,,,
Black,Total,Male,80,5,yes,..80 to 84 years,206090,,,,,,,
Black,Total,Male,85,,yes,..85 years and over,161831,,,,,,,
Black,Total,Male,0,18,,..Under 18 years,5569919,,,,,,,
Black,Total,Male,0,5,,...Under 5 years,1499357,,,,,,,
Black,Total,Male,5,9,,...5 to 13 years,2825601,,,,,,,
Black,Total,Male,14,4,,...14 to 17 years,1244961,,,,,,,
Black,Total,Male,18,47,,..18 to 64 years,13450844,,,,,,,
Black,Total,Male,18,7,,...18 to 24 years,2335201,,,,,,,
Black,Total,Male,25,20,,...25 to 44 years,6216629,,,,,,,
Black,Total,Male,45,20,,...45 to 64 years,4899014,,,,,,,
Black,Total,Male,65,,,..65 years and over,2092577,,,,,,,
Black,Total,Male,85,,,..85 years and over,161831,,,,,,,
Black,Total,Male,16,,,..16 years and over,16166110,,,,,,,
Black,Total,Male,18,,,..18 years and over,15543421,,,,,,,
Black,Total,Female,0,5,yes,..Under 5 years,1458801,,,,,,,
Black,Total,Female,5,5,yes,..5 to 9 years,1504849,,,,,,,
Black,Total,Female,10,5,yes,..10 to 14 years,1549173,,,,,,,
Black,Total,Female,15,5,yes,..15 to 19 years,1553023,,,,,,,
Black,Total,Female,20,5,yes,..20 to 24 years,1626535,,,,,,,
Black,Total,Female,25,5,yes,..25 to 29 years,1855461,,,,,,,
Black,Total,Female,30,5,yes,..30 to 34 years,1660003,,,,,,,
Black,Total,Female,35,5,yes,..35 to 39 years,1565644,,,,,,,
Black,Total,Female,40,5,yes,..40 to 44 years,1440802,,,,,,,
Black,Total,Female,45,5,yes,..45 to 49 years,1451345,,,,,,,
Black,Total,Female,50,5,yes,..50 to 54 years,1425303,,,,,,,
Black,Total,Female,55,5,yes,..55 to 59 years,1468538,,,,,,,
Black,Total,Female,60,5,yes,..60 to 64 years,1332321,,,,,,,
Black,Total,Female,65,5,yes,..65 to 69 years,1064201,,,,,,,
Black,Total,Female,70,5,yes,..70 to 74 years,771158,,,,,,,
Black,Total,Female,75,5,yes,..75 to 79 years,518159,,,,,,,
Black,Total,Female,80,5,yes,..80 to 84 years,349141,,,,,,,
Black,Total,Female,85,,yes,..85 years and over,367289,,,,,,,
Black,Total,Female,0,18,,..Under 18 years,5422098,,,,,,,
Black,Total,Female,0,5,,...Under 5 years,1458801,,,,,,,
Black,Total,Female,5,9,,...5 to 13 years,2750415,,,,,,,
Black,Total,Female,14,4,,...14 to 17 years,1212882,,,,,,,
Black,Total,Female,18,47,,..18 to 64 years,14469700,,,,,,,
Black,Total,Female,18,7,,...18 to 24 years,2270283,,,,,,,
Black,Total,Female,25,20,,...25 to 44 years,6521910,,,,,,,
Black,Total,Female,45,20,,...45 to 64 years,5677507,,,,,,,
Black,Total,Female,65,,,..65 years and over,3069948,,,,,,,
Black,Total,Female,85,,,..85 years and over,367289,,,,,,,
